event_name,event_date,source_scope,source_event_id,round_group,confirmed_procedure,pool
Basilicata Campania Puglia Campionato Regionale 5° prova (B),2022-12-18,FASI,431,Qualification,Unknown,Boulder_Men
Basilicata Campania Puglia Campionato Regionale 5° prova (B),2022-12-18,FASI,431,Final,Unknown,Boulder_Women
Basilicata Campania Puglia Campionato Regionale 5° prova (B),2022-12-18,FASI,431,Final,Unknown,Boulder_Men
Basilicata Campionato Regionale 5° prova (B),2022-12-18,FASI,444,Qualification,Unknown,Boulder_Men
Basilicata Campionato Regionale 5° prova (B),2022-12-18,FASI,444,Final,Unknown,Boulder_Women
Campania Campionato Regionale 4° prova (B),2022-12-18,FASI,445,Qualification,Unknown,Boulder_Men
Campania Campionato Regionale 4° prova (B),2022-12-18,FASI,445,Final,Unknown,Boulder_Men
Marche Umbria 2° prova di qualifica U12-U20 Senior (B),2022-12-18,FASI,446,Qualification,Flash,Boulder_Women
Marche Umbria 2° prova di qualifica U12-U20 Senior (B),2022-12-18,FASI,446,Qualification,Flash,Boulder_Men
Marche Umbria 2° prova di qualifica U12-U20 Senior (B),2022-12-18,FASI,446,Final,Onsight,Boulder_Women
Marche Umbria 2° prova di qualifica U12-U20 Senior (B),2022-12-18,FASI,446,Final,Onsight,Boulder_Men
Puglia Campionato Regionale 5° prova (B),2022-12-18,FASI,443,Final,Unknown,Boulder_Women
Puglia Campionato Regionale 5° prova (B),2022-12-18,FASI,443,Final,Unknown,Boulder_Men
Basilicata Campania Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,430,Qualification,Unknown,Boulder_Women
Basilicata Campania Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,430,Qualification,Unknown,Boulder_Men
Basilicata Campania Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,430,Final,Unknown,Boulder_Women
Basilicata Campania Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,430,Final,Unknown,Boulder_Men
Basilicata Campionato Regionale 4° prova (B),2022-12-04,FASI,439,Qualification,Unknown,Boulder_Women
Basilicata Campionato Regionale 4° prova (B),2022-12-04,FASI,439,Qualification,Unknown,Boulder_Men
Basilicata Campionato Regionale 4° prova (B),2022-12-04,FASI,439,Final,Unknown,Boulder_Women
Campania Campionato Regionale 4° prova (B),2022-12-04,FASI,437,Qualification,Unknown,Boulder_Men
Campania Campionato Regionale 4° prova (B),2022-12-04,FASI,437,Final,Unknown,Boulder_Men
Emilia-Romagna Campionato Regionale 3^ prova (B),2022-12-04,FASI,426,Qualification,Unknown,Boulder_Men
Emilia-Romagna Campionato Regionale 3^ prova (B),2022-12-04,FASI,426,Qualification,Unknown,Boulder_Women
Emilia-Romagna Campionato Regionale 3^ prova (B),2022-12-04,FASI,426,Final,Unknown,Boulder_Men
Emilia-Romagna Campionato Regionale 3^ prova (B),2022-12-04,FASI,426,Final,Unknown,Boulder_Women
Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,438,Qualification,Unknown,Boulder_Men
Puglia Campionato Regionale 4° prova (B),2022-12-04,FASI,438,Final,Unknown,Boulder_Men
Senior Boulder National Championships,2022-11-24,CEC,25,Qualification,Flash,Boulder_Men
Senior Boulder National Championships,2022-11-24,CEC,25,Qualification,Flash,Boulder_Women
Senior Boulder National Championships,2022-11-24,CEC,25,Semi-final,Unknown,Boulder_Men
Senior Boulder National Championships,2022-11-24,CEC,25,Semi-final,Unknown,Boulder_Women
