pool,country,rating_family,athletes,median_entry_elo,mean_entry_elo,entry_q25,entry_q75,median_change_first_3,mean_change_first_3,change_q25,change_q75,median_observed_events,median_prior_competitions
Boulder_Men,AIN,Global-ELO,5,1811.451914786133,1810.7570709707525,1808.7702457184344,1812.114185449125,9.859279182525597,17.136961467464108,3.1483025943482517,39.664152513283625,3.0,2.0
Boulder_Men,AIN,IFSC-ELO,5,1807.914127519254,1809.2448200527465,1805.4090490582769,1811.451914786133,6.705136390848111,8.540108793358376,3.1483025943482517,9.859279182525597,3.0,2.0
Boulder_Men,AIN,WC+-ELO,3,1810.3608358898025,1806.9324386976896,1795.4260077689405,1820.153068222495,58.429405804888574,47.833087953183394,37.06490711803622,63.89942771418316,3.0,3.0
Boulder_Men,ARG,Global-ELO,19,1779.4669172015676,1781.6001559462234,1772.3837352938194,1783.7819407195184,-21.762928654408142,-16.7808895473251,-33.27365196511175,-9.52214395376734,3.0,2.0
Boulder_Men,ARG,IFSC-ELO,21,1777.9563465280946,1782.5090183625698,1772.3907366470808,1784.6291759955013,-18.575776039243692,-16.144990231948874,-29.930861380739543,-5.109732854656386,3.0,2.0
Boulder_Men,ARG,WC+-ELO,13,1772.3767339405579,1772.067151487322,1765.947865699566,1779.589033352755,-11.978486778599745,-14.456996531732626,-27.599981751568293,-11.273120097820765,2.0,2.0
Boulder_Men,AUS,Global-ELO,36,1792.236077858182,1795.3070984334015,1786.108135406431,1805.3233329713191,-0.3242331046737945,0.8802781035437243,-11.553347580944433,10.672021874707355,3.0,2.0
Boulder_Men,AUS,IFSC-ELO,37,1792.5025987386916,1794.1196007541853,1781.702742898398,1804.3534321817524,0.7839923601645751,0.014438603287095935,-14.156841728373365,9.695567331314578,3.0,2.0
Boulder_Men,AUS,WC+-ELO,21,1793.1090237849041,1805.5194829145375,1790.3911516334217,1804.3534321817524,-3.951031125518057,-3.9204116807676157,-18.820144695577937,3.1698300243340327,2.0,3.0
Boulder_Men,AUT,Global-ELO,57,1804.665271886968,1814.847157171842,1796.8584887217144,1830.3437706495206,2.401500969936478,10.572522235940827,-8.820700919704905,19.67361062842815,3.0,3.0
Boulder_Men,AUT,IFSC-ELO,77,1803.403589379464,1801.2083383842028,1787.543851528269,1813.26964614772,2.738797318924753,4.794026281749459,-11.847818973171798,23.87943082397578,3.0,2.0
Boulder_Men,AUT,WC+-ELO,40,1823.35306904632,1836.8603155395317,1799.1474270126769,1849.3358057952746,23.971850183292872,41.57473004243019,1.5618388189333245,54.51072092324421,3.0,7.5
Boulder_Men,AZE,Global-ELO,1,1753.288146405825,1753.288146405825,1753.288146405825,1753.288146405825,-14.372754564876004,-14.372754564876004,-14.372754564876004,-14.372754564876004,1.0,2.0
Boulder_Men,AZE,IFSC-ELO,1,1753.288146405825,1753.288146405825,1753.288146405825,1753.288146405825,-14.372754564876004,-14.372754564876004,-14.372754564876004,-14.372754564876004,1.0,2.0
Boulder_Men,BEL,Global-ELO,27,1796.263421320254,1794.941397417401,1769.8517360565008,1815.2830566148523,-2.2443475492211746,8.877748547660413,-10.533889559814838,9.106405736510965,3.0,5.0
Boulder_Men,BEL,IFSC-ELO,53,1784.058162462175,1787.6915630489586,1773.1080752877992,1801.9004096150343,-7.023428692484686,-4.8265514131218215,-13.811983535211539,1.9987629117911183,3.0,2.0
Boulder_Men,BEL,WC+-ELO,22,1801.630026432482,1806.5533852923386,1781.4261184955797,1827.4584229568334,12.675043351213503,25.842171033075715,1.2627217863944225,37.978797456153245,2.0,6.5
Boulder_Men,BLR,Global-ELO,5,1780.2431121569073,1788.2370213500387,1775.737004645709,1809.448286480533,-3.673824751432676,-5.964093866898293,-4.974509690099694,-1.1366949866053346,1.0,2.0
Boulder_Men,BLR,IFSC-ELO,6,1777.990058401308,1785.0709891108966,1770.864872097816,1802.1469928996266,-4.324167220766185,-7.713762473309923,-13.590206551550978,-1.77097742781217,1.0,2.0
Boulder_Men,BLR,WC+-ELO,2,1790.3772518478436,1790.3772518478436,1779.8090398815143,1800.9454638141729,-6.861145701413079,-6.861145701413079,-11.661625603390576,-2.060665799435583,1.5,2.0
Boulder_Men,BOL,Global-ELO,3,1753.4238758752488,1758.966129688726,1751.7451480686163,1763.415984402097,-17.834682307021467,-15.575805967063237,-18.604971375982245,-13.676078728123343,1.0,2.0
Boulder_Men,BOL,IFSC-ELO,3,1753.4238758752488,1758.966129688726,1751.7451480686163,1763.415984402097,-17.834682307021467,-15.575805967063237,-18.604971375982245,-13.676078728123343,1.0,2.0
Boulder_Men,BRA,Global-ELO,20,1782.8050963253745,1783.074647387574,1770.76166534309,1788.807626721202,-5.398638455130822,-7.676581292174376,-13.783034245810484,0.3794277097464942,3.0,2.0
Boulder_Men,BRA,IFSC-ELO,22,1782.0174935300588,1783.9383859251138,1772.5613814991914,1791.2796774709132,-4.426286725470732,-6.093373657459282,-14.802903372701962,1.7653309421719428,3.0,2.0
Boulder_Men,BRA,WC+-ELO,14,1784.8794287009775,1786.0231942554453,1775.4222087069088,1793.4326978581669,-8.937592538703825,-6.520274475928919,-11.422372418185205,3.6167758427133094,2.5,3.0
Boulder_Men,BUL,Global-ELO,23,1778.777863859087,1791.8061932878384,1770.3626156550572,1795.1507074832498,-17.8806962511851,-9.70049091009175,-20.04957090898654,-2.405035043288649,3.0,2.0
