cohort,scope,model,evaluation_window,athletes,competitions,athlete_starts,opponent_pairs,pairwise_brier,pairwise_brier_ci90_low,pairwise_brier_ci90_high,pairwise_accuracy,placement_percentile_mae,placement_percentile_mae_ci90_low,placement_percentile_mae_ci90_high,mean_probability_bias,within_cohort_rank_correlation,within_cohort_fields,evidence_grade,baseline_pairwise_brier,baseline_placement_percentile_mae,pairwise_brier_improvement_vs_equal,placement_mae_improvement_vs_equal
EEQ 2025-2026 current roster,All accessible competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,54,39,296,9860,0.24650101419878295,0.244765355264038,0.2479097796570491,0.40162271805273836,0.2478241169141907,0.23327914739336497,0.2626780893584444,-0.09837728194726167,,0,Strong descriptive coverage,0.24650101419878295,0.2478241169141907,0.0,0.0
EEQ 2025-2026 current roster,All accessible competitions,Global-ELO,2025 onward - roster defined in 2026,54,39,296,9860,0.20652706844645946,0.2001181244004925,0.21332195588738,0.6845841784989858,0.22180895952925606,0.20901720558723375,0.23642214857602295,-0.051829370483901516,0.41522054914806333,45,Strong descriptive coverage,0.24650101419878295,0.2478241169141907,0.03997394575232349,0.02601515738493465
EEQ 2025-2026 current roster,All accessible competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,54,39,296,9860,0.20130277495000842,0.19312018318197258,0.20989817224745885,0.6835699797160243,0.21646101891014485,0.20371833575702358,0.23066668301851662,-0.047795397699101135,0.4227379218869896,45,Strong descriptive coverage,0.24650101419878295,0.2478241169141907,0.04519823924877453,0.03136309800404585
EEQ 2025-2026 current roster,All accessible competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,54,39,296,9860,0.203725143842912,0.1966680370012462,0.21109091063176313,0.6838742393509127,0.21892176820749187,0.20640708667610771,0.23331597857860667,-0.049885561450114684,0.39260564350370925,45,Strong descriptive coverage,0.24650101419878295,0.2478241169141907,0.042775870355870965,0.028902348706698833
EEQ 2025-2026 current roster,CEC-published competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,54,26,278,8739,0.2461093946675821,0.2439393382762229,0.2477383270982232,0.39684174390662547,0.25348158739263293,0.23943684152885886,0.2673182470059251,-0.10315825609337453,,0,Strong descriptive coverage,0.2461093946675821,0.25348158739263293,0.0,0.0
EEQ 2025-2026 current roster,CEC-published competitions,Global-ELO,2025 onward - roster defined in 2026,54,26,278,8739,0.20841039477795953,0.20194292001499745,0.21636112764593968,0.6795972079185262,0.22624160403355825,0.21325983902421597,0.23891984815593748,-0.06812240420298228,0.41522054914806333,45,Strong descriptive coverage,0.2461093946675821,0.25348158739263293,0.03769899988962258,0.027239983359074682
EEQ 2025-2026 current roster,CEC-published competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,54,26,278,8739,0.2015574925841168,0.19328595430319692,0.21087296650610868,0.6828012358393409,0.21965848945577163,0.20640129719027644,0.23322722899314574,-0.0691049593329813,0.4227379218869896,45,Strong descriptive coverage,0.2461093946675821,0.25348158739263293,0.04455190208346532,0.03382309793686131
EEQ 2025-2026 current roster,CEC-published competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,54,26,278,8739,0.2053385828199762,0.19840942604120995,0.21370005665754974,0.6802837853301293,0.2228985460912966,0.20992208294221143,0.23561182623097562,-0.06742604393606326,0.39260564350370925,45,Strong descriptive coverage,0.2461093946675821,0.25348158739263293,0.04077081184760592,0.030583041301336322
EEQ 2025-2026 current roster,IFSC-published competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,8,7,11,913,0.25,0.25,0.25,0.4644030668127054,0.1383095286066048,0.0807667995856154,0.20537211436974678,-0.035596933187294635,,0,Limited descriptive coverage,0.25,0.1383095286066048,0.0,0.0
EEQ 2025-2026 current roster,IFSC-published competitions,Global-ELO,2025 onward - roster defined in 2026,8,7,11,913,0.19798843725962542,0.1892465284599431,0.20581449836078036,0.7064622124863089,0.15406116082371832,0.12335438930706265,0.178901550365036,0.09813703317609156,,0,Limited descriptive coverage,0.25,0.1383095286066048,0.05201156274037458,-0.01575163221711351
EEQ 2025-2026 current roster,IFSC-published competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,8,7,11,913,0.20721912171642884,0.1896802526016451,0.22263106820497494,0.6768893756845564,0.1745290036788587,0.13214755182178067,0.21252922727188547,0.1479109781415279,,0,Limited descriptive coverage,0.25,0.1383095286066048,0.04278087828357116,-0.0362194750722539
EEQ 2025-2026 current roster,IFSC-published competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,8,7,11,913,0.1969222236427169,0.18672081767015342,0.20623445065075055,0.696604600219058,0.15803807027236735,0.12322085591423645,0.18475158462817834,0.11156330205072773,,0,Limited descriptive coverage,0.25,0.1383095286066048,0.05307777635728311,-0.019728541665762545
EEQ 2025-2026 current roster,WC+ competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,7,4,8,752,0.25,0.25,0.25,0.4507978723404255,0.11806380638801964,0.02498877430054021,0.1941499289015286,-0.04920212765957447,,0,Limited descriptive coverage,0.25,0.11806380638801964,0.0,0.0
EEQ 2025-2026 current roster,WC+ competitions,Global-ELO,2025 onward - roster defined in 2026,7,4,8,752,0.19812469099074828,0.1893457285879416,0.20560626978722882,0.699468085106383,0.159962491339279,0.1494563213556792,0.1704686613228788,0.09202999670287813,,0,Limited descriptive coverage,0.25,0.11806380638801964,0.05187530900925172,-0.04189868495125937
EEQ 2025-2026 current roster,WC+ competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,7,4,8,752,0.20718116458810198,0.18877311919756862,0.22269503089178758,0.6795212765957447,0.18047060689853578,0.1357864722616478,0.22515474153542375,0.14562080090886315,,0,Limited descriptive coverage,0.25,0.11806380638801964,0.042818835411898015,-0.06240680051051614
EEQ 2025-2026 current roster,WC+ competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,7,4,8,752,0.1966518102060004,0.18581880140829254,0.20588388174296327,0.6941489361702128,0.16625575062063114,0.14641734307419957,0.1860941581670627,0.10658469019421274,,0,Limited descriptive coverage,0.25,0.11806380638801964,0.053348189793999606,-0.0481919442326115
Canadian National Team proxy - current CNR top 15,All accessible competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,29,79,287,13128,0.2489907068860451,0.24867804275324998,0.24924208313512786,0.2665676416819013,0.2953480301447776,0.27464892206039393,0.3152577978606693,-0.23343235831809872,,0,Strong descriptive coverage,0.2489907068860451,0.2953480301447776,0.0,0.0
Canadian National Team proxy - current CNR top 15,All accessible competitions,Global-ELO,2025 onward - roster defined in 2026,29,79,287,13128,0.1805159885338925,0.17270257249858523,0.18769872990592615,0.7431825106642291,0.23272952231901325,0.21654431197083635,0.24683101182763628,-0.16689759775849974,0.39090045830920045,30,Strong descriptive coverage,0.2489907068860451,0.2953480301447776,0.0684747183521526,0.06261850782576436
Canadian National Team proxy - current CNR top 15,All accessible competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,29,79,287,13128,0.16906695183740625,0.16268558099301333,0.17576712786927168,0.7616925655088361,0.2157904405199537,0.19927692505885994,0.22990866605978047,-0.1439495183647832,0.403584101441691,30,Strong descriptive coverage,0.2489907068860451,0.2953480301447776,0.07992375504863886,0.07955758962482393
Canadian National Team proxy - current CNR top 15,All accessible competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,29,79,287,13128,0.1748749073450866,0.1675466175686191,0.1817483720817161,0.7526279707495429,0.22562309890349153,0.20978423181451816,0.2396892948725002,-0.15906516600765025,0.39800789578963874,30,Strong descriptive coverage,0.2489907068860451,0.2953480301447776,0.07411579954095851,0.06972493124128609
Canadian National Team proxy - current CNR top 15,CEC-published competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,29,38,155,6865,0.24912600145666425,0.24887656705234637,0.24937235273232042,0.1618353969410051,0.3569483259457692,0.33174217417162044,0.38343408105645477,-0.33816460305899493,,0,Strong descriptive coverage,0.24912600145666425,0.3569483259457692,0.0,0.0
Canadian National Team proxy - current CNR top 15,CEC-published competitions,Global-ELO,2025 onward - roster defined in 2026,29,38,155,6865,0.18442776974709912,0.17443128903043573,0.19307098550898,0.7471230881281865,0.2747629331001767,0.2582847668303437,0.29269005649689084,-0.2500241889751327,0.3066613680065888,14,Strong descriptive coverage,0.24912600145666425,0.3569483259457692,0.06469823170956512,0.08218539284559251
Canadian National Team proxy - current CNR top 15,CEC-published competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,29,38,155,6865,0.1718240650450253,0.16270298535151895,0.17977385172712013,0.7660597232337946,0.25323940369918513,0.23365424982659208,0.27390847260787016,-0.22895042278856298,0.3912758517705786,14,Strong descriptive coverage,0.24912600145666425,0.3569483259457692,0.07730193641163896,0.10370892224658407
Canadian National Team proxy - current CNR top 15,CEC-published competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,29,38,155,6865,0.17906052883259116,0.16976597859887124,0.1869802185850801,0.7564457392571012,0.26702491796603417,0.2501569024154748,0.28553337443773513,-0.24234377907330576,0.33230404220672205,14,Strong descriptive coverage,0.24912600145666425,0.3569483259457692,0.07006547262407309,0.08992340797973503
Canadian National Team proxy - current CNR top 15,IFSC-published competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,25,31,101,4629,0.248649816375027,0.2480785586213245,0.24917289578009935,0.4323828040613523,0.2044960702980712,0.18081774276675466,0.2280013295999909,-0.06761719593864765,,0,Strong descriptive coverage,0.248649816375027,0.2044960702980712,0.0,0.0
Canadian National Team proxy - current CNR top 15,IFSC-published competitions,Global-ELO,2025 onward - roster defined in 2026,25,31,101,4629,0.17113938721510735,0.1603969335221591,0.1826823092245463,0.7525383452149492,0.17393489228497983,0.15655951614901922,0.19160697665442336,-0.02629489950145266,0.4107936507936508,12,Strong descriptive coverage,0.248649816375027,0.2044960702980712,0.07751042915991965,0.030561178013091383
Canadian National Team proxy - current CNR top 15,IFSC-published competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,25,31,101,4629,0.16277005807944633,0.153132103631971,0.17276469530297903,0.7629077554547419,0.1645359420835621,0.1488359216258874,0.18082934371396622,-0.004311028684631882,0.44253968253968257,12,Strong descriptive coverage,0.248649816375027,0.2044960702980712,0.08587975829558067,0.039960128214509116
Canadian National Team proxy - current CNR top 15,IFSC-published competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,25,31,101,4629,0.16516211060707736,0.15505052441799913,0.17624281188322713,0.7618276085547635,0.1672742655222204,0.1504274402380328,0.18454250341295791,-0.019661929328022958,0.4831746031746032,12,Strong descriptive coverage,0.248649816375027,0.2044960702980712,0.08348770576794964,0.0372218047758508
Canadian National Team proxy - current CNR top 15,WC+ competitions,Equal-athlete baseline,2025 onward - roster defined in 2026,24,29,90,4067,0.24858618146053602,0.2479929383859694,0.2491250054680665,0.4577083845586427,0.19791108707719218,0.17544464322903008,0.220709945084593,-0.04229161544135727,,0,Moderate descriptive coverage,0.24858618146053602,0.19791108707719218,0.0,0.0
Canadian National Team proxy - current CNR top 15,WC+ competitions,Global-ELO,2025 onward - roster defined in 2026,24,29,90,4067,0.17456239068400223,0.16271053525747053,0.1855824632627475,0.7453897221539219,0.1816678233440166,0.162645748123402,0.19793636484106356,-0.016930760383744844,0.3735294117647059,10,Moderate descriptive coverage,0.24858618146053602,0.19791108707719218,0.07402379077653379,0.016243263733175584
Canadian National Team proxy - current CNR top 15,WC+ competitions,Global-ELO + pairwise momentum,2025 onward - roster defined in 2026,24,29,90,4067,0.1650582753552366,0.15405120553877774,0.1751257785124977,0.7594049668059996,0.16961364380321234,0.15188074093397472,0.18630558838230699,0.005635006630008723,0.49705882352941183,10,Moderate descriptive coverage,0.24858618146053602,0.19791108707719218,0.08352790610529942,0.028297443273979844
Canadian National Team proxy - current CNR top 15,WC+ competitions,Global-ELO + joint-ranking momentum,2025 onward - roster defined in 2026,24,29,90,4067,0.16798342353671747,0.1562495641176976,0.1783742269080421,0.7579296778952544,0.17387788679662833,0.15513508364017853,0.19021890609137443,-0.010480954612675373,0.5352941176470588,10,Moderate descriptive coverage,0.24858618146053602,0.19791108707719218,0.08060275792381855,0.024033200280563854
