model,contests,spearman,winner_logloss,top_24_brier,top_24_recall,top_16_brier,top_16_recall,top_8_brier,top_8_recall,top_3_brier,top_3_recall,cold_start_pairwise_brier,cold_start_pairwise_mae,established_pairwise_brier,established_pairwise_mae,tune_contests,tune_spearman,tune_winner_logloss,tune_top_24_brier,tune_top_24_recall,tune_top_16_brier,tune_top_16_recall,tune_top_8_brier,tune_top_8_recall,tune_top_3_brier,tune_top_3_recall,tune_cold_start_pairwise_brier,tune_cold_start_pairwise_mae,tune_established_pairwise_brier,tune_established_pairwise_mae,evaluation_contests,evaluation_spearman,evaluation_winner_logloss,evaluation_top_24_brier,evaluation_top_24_recall,evaluation_top_16_brier,evaluation_top_16_recall,evaluation_top_8_brier,evaluation_top_8_recall,evaluation_top_3_brier,evaluation_top_3_recall,evaluation_cold_start_pairwise_brier,evaluation_cold_start_pairwise_mae,evaluation_established_pairwise_brier,evaluation_established_pairwise_mae
uncertainty_anchor_zero_sum,3370,0.5855484286336149,2.0054782834282854,0.08865685041311544,0.9404120455322236,0.11300279870796341,0.8799113771597632,0.1324510838211181,0.7559646441661666,0.12680343610993344,0.5294033344484899,0.07696439071737474,0.21101967946899103,0.05996367012955602,0.18618975735810997,2725,0.5812089557095351,1.992217757386016,0.08930513375627996,0.9434491947739655,0.11285800606951485,0.8853812686706325,0.13376866534817602,0.7635200330848515,0.1308497358424247,0.5340752697641409,0.07728188677092858,0.21187452880641716,0.060918511538303854,0.1875632543590117,645,0.6038818607547268,2.061501436087485,0.08591797892455215,0.9275806785806785,0.11361451954481971,0.8568021455828353,0.1268845572145555,0.7240445902073809,0.10970860390677269,0.5096653131536852,0.07549392574769367,0.20706049323354042,0.05622225073201344,0.1808078915586583
uncertainty_anchor_raw,3370,0.5762819563925214,2.01609812221582,0.09208021296177071,0.9378811461096328,0.11570339274355697,0.8791847046645378,0.13456200419393516,0.7555349658655683,0.12772539507434202,0.5304616925098153,0.07806080015413971,0.21842962846331618,0.06004085164116605,0.188847248555312,2725,0.5713716958095104,2.0042999586793413,0.09281205953428426,0.9407637508261362,0.11572324598723358,0.8844770719042067,0.13576607667923105,0.7628510364342035,0.13174701901077043,0.5353229761861593,0.07810904185536671,0.21877111142552594,0.061215136338159296,0.19062983780442194,645,0.597026855754855,2.065943076691641,0.08898830302363216,0.9257026998267308,0.11561951663655112,0.8568254787295035,0.1294750312909408,0.724625985556218,0.11073481332741578,0.5099237110865017,0.0778373714502611,0.21684806948627772,0.05543957282845786,0.18186240904859546
adaptive_k,3370,0.5344641508826762,2.410526699575778,0.1539956403188004,0.9310956292855403,0.1678832711183944,0.8705772683014769,0.17545797673831887,0.7404801789116716,0.1605264279593558,0.5120228637816691,0.08471019799239946,0.2528618867622016,0.06837330641303935,0.21906852591004328,2725,0.5293326015217856,2.3820011341404013,0.15544833976438863,0.934105595322109,0.16876853980451456,0.8764429104527275,0.1772657397077667,0.7479575934857148,0.16395781309977117,0.5174616234715955,0.0849144257042525,0.25304080521705025,0.06924743605282527,0.22046763065868014,645,0.5561439524461282,2.5310416853298894,0.14785826669209037,0.9183791061077883,0.16414318248323562,0.8457960669647976,0.16782052853406246,0.708889551447691,0.14602949073822105,0.48904515811492555,0.08376432892487387,0.2520332360834309,0.06494814537551086,0.2135863195480377
classic_k32,3370,0.5161824381002903,2.4747041427392023,0.17003660238140353,0.9292527851860195,0.1814431103611689,0.86817642270112,0.18667468555766156,0.7335922555919975,0.1714219041111997,0.4996786501318174,0.08883207220974207,0.26107651707278906,0.07353241519184997,0.22941912006708043,2725,0.5113845416539728,2.4436351065950235,0.1717100610659808,0.9323439862889403,0.18250234687317263,0.8739771792061004,0.18864264227471084,0.7407237213435858,0.1747877339194773,0.5048561188844396,0.0889664761598321,0.26104019489982966,0.07448866461821381,0.23093452138413761,645,0.5364526207610888,2.6059647993173227,0.16296656375276325,0.9161930595961604,0.17696804137634697,0.8436693506451949,0.17836044981508897,0.7034631948585437,0.15720192546382553,0.47780484803740614,0.08820958793574253,0.2612447411573459,0.06978547866405692,0.2234812210288155
