coaching_unlock_rank,problem_id,coaching_athletes_unlocked,coaching_observations_unlocked,physical_observations_unlocked,board_observations_unlocked
119,IFSC|event:1418|route:17169,2,78,50,28
120,IFSC|event:1418|route:17170,2,78,50,28
121,IFSC|event:1531|route:20493,2,66,47,19
122,IFSC|event:1531|route:20494,2,66,47,19
123,IFSC|event:1531|route:20495,2,66,47,19
124,IFSC|event:1531|route:20496,2,66,47,19
125,IFSC|event:1531|route:20497,2,66,47,19
126,IFSC|event:1531|route:20488,2,66,47,19
127,IFSC|event:1531|route:20489,2,66,47,19
128,IFSC|event:1531|route:20490,2,66,47,19
129,IFSC|event:1531|route:20491,2,66,47,19
130,IFSC|event:1531|route:20492,2,66,47,19
131,CEC|event:119|route:9153,2,51,39,12
132,CEC|event:119|route:9154,2,51,39,12
133,CEC|event:119|route:9155,2,51,39,12
134,CEC|event:119|route:9156,2,51,39,12
135,CEC|event:119|route:9277,2,51,39,12
136,CEC|event:119|route:9278,2,51,39,12
137,CEC|event:119|route:9279,2,51,39,12
138,CEC|event:119|route:9280,2,51,39,12
139,CEC|event:119|route:9281,2,51,39,12
140,CEC|event:119|route:9282,2,51,39,12
141,CEC|event:192|route:17877,2,40,30,10
142,CEC|event:192|route:17741,2,40,30,10
143,CEC|event:192|route:17742,2,40,30,10
144,CEC|event:192|route:17743,2,40,30,10
145,CEC|event:192|route:17744,2,40,30,10
146,CEC|event:192|route:17745,2,40,30,10
147,CEC|event:192|route:17874,2,40,30,10
148,CEC|event:192|route:17875,2,40,30,10
149,CEC|event:192|route:17876,2,40,30,10
150,CEC|event:211|route:19837,2,37,27,10
151,CEC|event:211|route:19838,2,37,27,10
152,CEC|event:211|route:19839,2,37,27,10
153,CEC|event:211|route:19840,2,37,27,10
154,CEC|event:211|route:19841,2,37,27,10
155,CEC|event:211|route:19906,2,37,27,10
156,CEC|event:211|route:19907,2,37,27,10
157,CEC|event:211|route:19908,2,37,27,10
158,CEC|event:211|route:19909,2,37,27,10
159,CEC|event:123|route:9728,2,33,25,8
160,CEC|event:123|route:9749,2,33,25,8
161,CEC|event:123|route:9750,2,33,25,8
162,CEC|event:123|route:9752,2,33,25,8
163,CEC|event:123|route:9751,2,33,25,8
164,CEC|event:123|route:9723,2,33,25,8
165,CEC|event:123|route:9724,2,33,25,8
166,CEC|event:123|route:9725,2,33,25,8
167,CEC|event:123|route:9726,2,33,25,8
168,CEC|event:123|route:9727,2,33,25,8
169,IFSC|event:1522|route:19283,2,30,22,8
170,IFSC|event:1522|route:19285,2,30,22,8
171,CEC|event:224|route:23245,2,30,22,8
172,IFSC|event:1522|route:19286,2,30,22,8
173,CEC|event:224|route:22468,2,30,22,8
174,IFSC|event:1522|route:19284,2,30,22,8
175,IFSC|event:1522|route:19287,2,30,22,8
176,CEC|event:224|route:22463,2,30,22,8
177,CEC|event:224|route:22464,2,30,22,8
178,CEC|event:224|route:22465,2,30,22,8
179,CEC|event:224|route:22466,2,30,22,8
180,CEC|event:224|route:22467,2,30,22,8
181,CEC|event:224|route:23244,2,30,22,8
182,CEC|event:224|route:23246,2,30,22,8
183,CEC|event:224|route:23247,2,30,22,8
184,CEC|event:224|route:23268,2,30,22,8
185,CEC|event:224|route:23269,2,30,22,8
186,CEC|event:224|route:23270,2,30,22,8
187,CEC|event:224|route:23271,2,30,22,8
188,CEC|event:121|route:9537,2,24,18,6
189,CEC|event:121|route:9533,2,24,18,6
190,CEC|event:121|route:9535,2,24,18,6
