pool,calibration_season,calibration_competition,qualification_starts,events,normalization_offset,display_anchor,meaning,semifinal_achievers,native_elo_at_50pct_semifinal,display_elo_at_50pct_semifinal,semifinal_logistic_intercept_centered,semifinal_logistic_slope_per_100_native_elo,semifinal_mcfadden_pseudo_r2,final_achievers,native_elo_at_50pct_final,display_elo_at_50pct_final,final_logistic_intercept_centered,final_logistic_slope_per_100_native_elo,final_mcfadden_pseudo_r2,podium_achievers,native_elo_at_50pct_podium,display_elo_at_50pct_podium,podium_logistic_intercept_centered,podium_logistic_slope_per_100_native_elo,podium_mcfadden_pseudo_r2,win_achievers,native_elo_at_50pct_win,display_elo_at_50pct_win,win_logistic_intercept_centered,win_logistic_slope_per_100_native_elo,win_mcfadden_pseudo_r2
Boulder_Men,2025,IFSC Open World Cups,477,6,198.1637950753102,2000.0,2000 = fitted 50% probability of advancing from qualification to semifinal at a randomly sampled 2025 IFSC Open World Cup.,148,1801.8362049246898,2000.0,-1.4331339816066664,1.233981793163506,0.3429965460680592,48,1938.3615700417708,2136.525365117081,-4.463100224181446,1.7664146713851552,0.45601088662706357,18,2026.6088737526456,2224.772668827956,-6.525159692878243,1.9140324301158105,0.47955036111088967,6,2152.324220811037,2350.488015886347,-6.6716098178784,1.4297521885839304,0.3110890262544761
Boulder_Women,2025,IFSC Open World Cups,381,6,273.9610498261327,2000.0,2000 = fitted 50% probability of advancing from qualification to semifinal at a randomly sampled 2025 IFSC Open World Cup.,146,1726.0389501738673,2000.0,-1.0377561189553663,1.3833307741448335,0.3601944467898164,40,1904.1337515085036,2178.094801334636,-3.799903165157011,1.501264786182989,0.36034492141162755,15,2010.2535680270144,2284.214617853147,-5.089896873749976,1.4168779121898383,0.33162840386667713,5,2160.6518844387856,2434.6129342649183,-5.837772267102664,1.1454887036629708,0.24687867525660168
Boulder_All,2025,IFSC Open World Cups,858,12,,2000.0,Cross-gender reference fitted after each competition pool is translated to the shared 2000 semifinal anchor.,294,,2000.0,-1.2612240823068397,1.2939800430079367,0.35332835334654156,88,,2157.131985009465,-4.121119657938931,1.6160540932337337,0.4068690321494227,33,,2250.81337441063,-5.7668412354838825,1.6538465891591336,0.4044600121063744,11,,2391.4854876217128,-6.204913949619062,1.2679527865233728,0.2764027602145488
