snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
2004-08-19,Boulder_Men,Early cycle,361.85,1711.0102837081783,1928.085960558884,120,7
2004-08-19,Boulder_Women,Early cycle,325.0,1819.9247130986512,1868.6707078297504,66,7
2004-09-24,Boulder_Men,Early cycle,357.0,1756.756277037315,1928.085960558884,133,7
2004-09-24,Boulder_Women,Early cycle,307.33,1520.8493208286716,1868.6707078297504,80,7
2005-03-18,Boulder_Men,Early cycle,323.0,1934.677023695605,1938.5660545544415,137,7
2005-03-18,Boulder_Women,Early cycle,260.0,1605.4559111979688,1890.3466445125355,83,7
2005-04-08,Boulder_Men,Early cycle,297.0,1845.010275672768,1943.8654419376257,154,7
2005-04-08,Boulder_Women,Early cycle,299.0,1534.6853637525721,1931.6061992763634,93,7
2005-06-16,Boulder_Men,Early cycle,296.0,1945.2757984619739,1939.9831246819613,159,7
2005-06-16,Boulder_Women,Early cycle,260.0,1759.182742548479,1943.3919471034726,97,7
2005-07-01,Boulder_Men,Early cycle,325.0,1896.6191172761635,1942.5252838930041,204,7
2005-07-01,Boulder_Women,Early cycle,300.0,2131.1364045443597,1947.7821326517305,122,7
2005-09-29,Boulder_Men,Early cycle,270.0,2039.6022176758415,1966.5975549251593,177,5
2005-09-29,Boulder_Women,Early cycle,250.0,1761.6020432256375,1948.7901882804051,108,5
2006-03-17,Boulder_Men,Early cycle,280.0,1787.2600869896082,1940.4976217311,187,6
2006-03-17,Boulder_Women,Early cycle,300.0,2131.1364045443597,1934.8966195671696,112,6
2006-04-21,Boulder_Men,Early cycle,225.0,1961.167875442983,1965.3135272335198,164,5
2006-04-21,Boulder_Women,Early cycle,300.0,1947.176571360413,1940.9369207103746,100,5
2006-05-12,Boulder_Men,Early cycle,307.5,2011.2189275159337,1951.3752575415924,177,6
2006-05-12,Boulder_Women,Early cycle,380.0,1769.6711130446429,1949.4949420883459,108,6
2006-06-09,Boulder_Men,Early cycle,330.0,1986.9700815519989,1954.3505946440082,181,7
2006-06-09,Boulder_Women,Early cycle,455.0,2119.9525472526993,1946.1715609049058,112,7
2006-06-16,Boulder_Men,Early cycle,418.33,1853.8849845620477,1944.090571201592,190,8
2006-06-16,Boulder_Women,Early cycle,505.0,2034.9914625184097,1962.270947712142,121,8
2006-06-22,Boulder_Men,Early cycle,491.33,1857.6251852636665,1946.2163119748923,190,8
2006-06-22,Boulder_Women,Early cycle,441.0,1485.0583023632385,1949.4467263935117,125,8
2006-11-02,Boulder_Men,Early cycle,341.0,1744.4969210233355,1931.1462008090375,142,7
2006-11-02,Boulder_Women,Early cycle,277.0,1689.4709400383551,1909.3086304840392,85,7
2007-03-30,Boulder_Men,Early cycle,405.0,1741.3631321367227,1931.1497330358316,143,7
2007-03-30,Boulder_Women,Early cycle,267.0,1565.5745985519263,1911.0264251667045,87,7
2007-04-20,Boulder_Men,Early cycle,461.0,1846.2693033902817,1933.9120971115847,158,8
2007-04-20,Boulder_Women,Early cycle,312.5,1867.9039180033174,1907.075112038813,94,8
2007-04-27,Boulder_Men,Early cycle,452.0,1828.9651762941644,1939.9123133391142,156,8
2007-04-27,Boulder_Women,Early cycle,335.0,1982.9837770218253,1932.663772635401,95,8
2007-05-04,Boulder_Men,Early cycle,455.0,1747.6118982201672,1946.4814869570803,160,9
2007-05-04,Boulder_Women,Early cycle,380.0,1823.2194792708967,1908.3408624365643,96,9
2007-06-08,Boulder_Men,Early cycle,546.0,1924.7938941221591,1957.3371174940512,161,9
2007-06-08,Boulder_Women,Early cycle,387.0,1576.3286488561828,1875.3797640815362,100,9
2007-06-22,Boulder_Men,Early cycle,436.0,1785.2290307477545,1957.2988440014833,150,8
2007-06-22,Boulder_Women,Early cycle,355.0,1590.1481503552707,1906.7507380352386,88,8
2007-09-17,Boulder_Men,Early cycle,505.5,1661.122550076799,1959.009624025385,214,8
2007-09-17,Boulder_Women,Early cycle,370.0,1859.408343595685,1898.3740465223536,114,8
2007-11-09,Boulder_Men,Early cycle,545.0,1955.66448363033,1963.5008193609356,215,8
2007-11-09,Boulder_Women,Early cycle,415.0,1689.6548658488368,1907.7530447754098,116,8
2008-04-18,Boulder_Men,Early cycle,604.33,1810.860649207915,1978.5364008291524,224,8
2008-04-18,Boulder_Women,Early cycle,404.65999999999997,1754.7837773318734,1899.5418864727644,126,8
2008-05-02,Boulder_Men,Early cycle,501.0,1852.0246956014723,1969.9167016645529,212,7
2008-05-02,Boulder_Women,Early cycle,380.0,1726.3540274712302,1899.5418864727644,123,7
2008-05-30,Boulder_Men,Early cycle,533.0,1874.4403675253207,1971.6397332816728,215,7
2008-05-30,Boulder_Women,Early cycle,445.0,1921.7609914831805,1910.4339026253565,124,7
2008-06-06,Boulder_Men,Early cycle,631.66,2019.8268668479707,1981.267030359967,235,8
2008-06-06,Boulder_Women,Early cycle,464.65999999999997,1846.4047303269092,1952.1294172854646,146,8
2008-06-13,Boulder_Men,Early cycle,614.16,1993.4586374394373,1989.7862948944503,237,8
2008-06-13,Boulder_Women,Early cycle,455.0,2108.892351098142,1942.429343017224,144,8
2008-07-04,Boulder_Men,Early cycle,533.5,1861.6100867033726,1956.7366466027327,243,8
2008-07-04,Boulder_Women,Early cycle,451.5,1813.9686273444381,1938.3286937547714,146,8
2008-10-31,Boulder_Men,Early cycle,533.5,1861.6100867033726,1965.885949199995,196,8
2008-10-31,Boulder_Women,Early cycle,425.0,1829.744650737011,1950.4992881351825,120,8
2009-04-11,Boulder_Men,Early cycle,580.0,1901.1969888199058,1966.1245969978254,191,8
2009-04-11,Boulder_Women,Early cycle,472.15999999999997,1844.7712481770295,1939.74855872116,123,8
2009-05-01,Boulder_Men,Early cycle,613.0,1877.6376844964705,1956.3890634537547,204,8
2009-05-01,Boulder_Women,Early cycle,510.0,1736.544350876774,1934.3271107159433,130,8
2009-05-29,Boulder_Men,Early cycle,690.0,2080.945068595338,1964.5371110009482,215,8
2009-05-29,Boulder_Women,Early cycle,483.33000000000004,1726.5611482542247,1933.6362044639739,134,8
2009-06-05,Boulder_Men,Early cycle,643.49,1984.2544467289893,1964.5371110009482,217,8
2009-06-05,Boulder_Women,Early cycle,410.0,1904.8828280131704,1916.2143615833072,139,8
2009-06-12,Boulder_Men,Early cycle,646.25,1953.8041632463699,1949.670470326008,213,8
2009-06-12,Boulder_Women,Early cycle,415.0,1949.06173554029,1897.0187709081106,134,8
